City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Mar Del Plata,AR,75.99,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
6,Salalah,OM,82.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
7,Mahebourg,MU,81.0,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
14,Carnarvon,AU,77.0,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
16,Sambava,MG,79.88,clear sky,-14.2667,50.1667,Melrose
22,Mecca,SA,80.73,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
23,Atuona,PF,80.29,broken clouds,-9.8,-139.0333,Villa Enata
24,Asyut,EG,78.8,clear sky,27.180999999999997,31.1837,Florence Hotel Assiut
26,Karratha,AU,83.5,clear sky,-20.7377,116.8463,ibis Styles Karratha
28,Nhulunbuy,AU,80.6,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
30,Manadhoo,MV,84.31,scattered clouds,5.7667,73.3833,Vevu Guesthouse
31,Belmonte,BR,87.8,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
32,Kinkala,CG,89.6,light rain,-4.3614,14.7644,Hotel la Pepeche Kinkala
35,Cayenne,GF,80.6,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
36,Namatanai,PG,77.86,moderate rain,-3.6667,152.4333,Namatanai Hotel
38,San Patricio,US,75.99,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
40,Bambous Virieux,MU,81.0,few clouds,-20.3428,57.7575,Casa Tia Villa
53,Corn Island,NI,80.31,broken clouds,12.1694,-83.0418,Big Fish Guest House
54,Vila Velha,BR,82.4,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
55,Rikitea,PF,76.77,light rain,-23.1203,-134.9692,Pension Maro'i
56,Shakawe,BW,75.65,clear sky,-18.3667,21.85,Ditlhapi Guest House
57,Beira,MZ,80.01,few clouds,-19.8436,34.8389,Beira Terrace Hotel
62,Kavieng,PG,77.63,moderate rain,-2.5744,150.7967,Nusa Island Retreat
71,Hithadhoo,MV,83.82,broken clouds,-0.6,73.0833,Scoop Guest House
72,Aloleng,PH,79.83,clear sky,16.1307,119.7824,Agno Umbrella Rocks
