City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Grand Gaube,MU,2021-04-03 02:49:22,-20.0064,57.6608,80.01,77,13,3.0
1,Tacuati,PY,2021-04-03 02:49:22,-23.45,-56.5833,69.04,55,27,2.66
2,Kavaratti,IN,2021-04-03 02:42:23,10.5669,72.642,82.99,58,100,10.89
3,Fort Nelson,CA,2021-04-03 02:43:24,58.8053,-122.7002,32.0,37,75,8.05
4,Mataura,NZ,2021-04-03 02:42:27,-46.1927,168.8643,60.01,58,98,8.01
5,Derzhavinsk,KZ,2021-04-03 02:49:23,51.1,66.3167,24.1,80,66,8.68
6,Komsomolskiy,UZ,2021-04-03 02:42:25,40.4272,71.7189,39.2,60,0,4.61
7,Tasiilaq,GL,2021-04-03 02:43:10,65.6145,-37.6368,30.2,80,75,8.05
8,Mar Del Plata,AR,2021-04-03 02:38:07,-38.0023,-57.5575,66.99,88,20,5.75
9,Salinas,US,2021-04-03 02:49:23,36.6777,-121.6555,53.6,71,90,12.66
10,Cayenne,GF,2021-04-03 02:49:23,4.9333,-52.3333,75.2,94,90,9.01
11,Hithadhoo,MV,2021-04-03 02:42:51,-0.6,73.0833,84.06,73,17,17.65
12,Puerto Ayora,EC,2021-04-03 02:42:24,-0.7393,-90.3518,77.0,93,72,1.99
13,Esperance,AU,2021-04-03 02:43:16,-33.8667,121.9,69.8,64,40,13.8
14,Butaritari,KI,2021-04-03 02:42:35,3.0707,172.7902,82.36,79,22,14.67
15,Hobart,AU,2021-04-03 02:42:33,-42.8794,147.3294,88.0,15,0,28.77
16,Richards Bay,ZA,2021-04-03 02:49:24,-28.783,32.0377,71.49,82,100,16.22
17,Turayf,SA,2021-04-03 02:49:24,31.6725,38.6637,42.8,81,0,13.8
18,Lagoa,PT,2021-04-03 02:42:39,39.05,-27.9833,60.51,84,100,32.37
19,Bethel,US,2021-04-03 02:42:25,41.3712,-73.414,32.0,46,63,1.01
20,Kaeo,NZ,2021-04-03 02:49:24,-35.1,173.7833,73.0,68,6,10.0
21,Kosa,RU,2021-04-03 02:49:24,59.9445,54.9977,31.8,99,100,4.92
22,Dunedin,NZ,2021-04-03 02:43:03,-45.8742,170.5036,62.01,54,100,5.14
23,Albany,US,2021-04-03 02:39:46,42.6001,-73.9662,33.01,59,28,1.01
24,Vaini,TO,2021-04-03 02:42:53,-21.2,-175.2,86.0,66,75,3.44
25,Kodiak,US,2021-04-03 02:42:48,57.79,-152.4072,41.0,52,40,12.66
26,Darya Khan,PK,2021-04-03 02:49:25,31.7912,71.1039,72.82,10,0,6.6
27,Punta Arenas,CL,2021-04-03 02:42:19,-53.15,-70.9167,44.6,93,90,8.05
28,Aquiraz,BR,2021-04-03 02:49:25,-3.9014,-38.3911,82.4,83,40,4.61
29,Neiafu,TO,2021-04-03 02:49:25,-18.65,-173.9833,86.0,70,40,8.05
30,Qaanaaq,GL,2021-04-03 02:42:28,77.484,-69.3632,-17.46,88,100,11.95
31,Ushuaia,AR,2021-04-03 02:42:21,-54.8,-68.3,46.4,81,75,18.41
32,Avera,US,2021-04-03 02:42:37,33.194,-82.5271,39.2,70,1,4.7
33,Watsa,CD,2021-04-03 02:49:26,3.0372,29.5355,62.15,95,65,3.74
34,Port Alfred,ZA,2021-04-03 02:42:26,-33.5906,26.891,60.12,84,38,8.55
35,Novyy Urengoy,RU,2021-04-03 02:49:26,66.0833,76.6333,25.45,97,100,6.85
36,Luderitz,NA,2021-04-03 02:42:29,-26.6481,15.1594,69.12,47,4,15.26
37,Castro,BR,2021-04-03 02:42:57,-24.7911,-50.0119,53.67,96,0,4.5
38,Isparta,TR,2021-04-03 02:49:26,38.0,31.0,32.0,86,20,2.3
39,Namibe,AO,2021-04-03 02:49:26,-15.1961,12.1522,76.6,81,55,6.91
40,Dingle,PH,2021-04-03 02:44:16,10.9995,122.6711,85.03,65,78,12.5
41,Semey,KZ,2021-04-03 02:49:27,50.4111,80.2275,30.2,80,0,6.71
42,Arraial Do Cabo,BR,2021-04-03 02:42:39,-22.9661,-42.0278,75.45,76,2,8.23
43,Hailun,CN,2021-04-03 02:49:27,47.45,126.9333,37.87,18,0,20.2
44,Vao,NC,2021-04-03 02:43:42,-22.6667,167.4833,74.48,90,100,27.16
45,Baghdad,IQ,2021-04-03 02:48:19,33.3406,44.4009,57.2,62,0,18.41
46,Bandarbeyla,SO,2021-04-03 02:49:27,9.4942,50.8122,76.39,78,40,4.88
47,Busselton,AU,2021-04-03 02:42:37,-33.65,115.3333,69.01,70,50,1.99
48,Rikitea,PF,2021-04-03 02:42:22,-23.1203,-134.9692,77.5,74,82,9.01
49,Provideniya,RU,2021-04-03 02:42:58,64.3833,-173.3,12.94,89,100,11.07
50,Upernavik,GL,2021-04-03 02:43:11,72.7868,-56.1549,-17.3,99,100,5.91
51,East London,ZA,2021-04-03 02:42:29,-33.0153,27.9116,61.65,80,35,11.3
52,Aosta,IT,2021-04-03 02:49:28,45.7667,7.4167,53.01,73,0,19.57
53,Bluff,NZ,2021-04-03 02:42:24,-46.6,168.3333,60.01,58,100,8.01
54,Raudeberg,NO,2021-04-03 02:49:28,61.9875,5.1352,37.99,73,74,7.29
55,Berasia,IN,2021-04-03 02:49:28,23.6333,77.4333,71.6,33,0,5.75
56,Bambous Virieux,MU,2021-04-03 02:42:26,-20.3428,57.7575,79.0,94,75,9.22
57,Chokurdakh,RU,2021-04-03 02:43:00,70.6333,147.9167,-2.94,94,55,1.14
58,Svobodnyy,RU,2021-04-03 02:43:21,51.4,128.1333,30.15,34,81,28.54
59,Khatanga,RU,2021-04-03 02:42:55,71.9667,102.5,-8.7,83,10,6.67
60,Beloha,MG,2021-04-03 02:42:27,-25.1667,45.05,68.65,71,0,6.29
61,Mahebourg,MU,2021-04-03 02:43:01,-20.4081,57.7,77.0,94,75,9.22
62,Praia,CV,2021-04-03 02:49:29,14.9215,-23.5087,77.0,31,0,21.85
63,Moree,AU,2021-04-03 02:49:29,-29.4667,149.85,77.0,44,83,10.36
64,Longyearbyen,SJ,2021-04-03 02:42:43,78.2186,15.6401,19.4,73,75,3.44
65,Cortez,US,2021-04-03 02:49:29,37.3489,-108.5859,62.6,23,20,6.91
66,Skjervoy,NO,2021-04-03 02:49:29,70.0311,20.9714,34.81,76,100,22.26
67,Broome,US,2021-04-03 02:49:30,42.2506,-75.833,24.8,42,1,5.75
68,Dikson,RU,2021-04-03 02:42:51,73.5069,80.5464,-13.5,82,91,3.71
69,Vanimo,PG,2021-04-03 02:49:30,-2.6741,141.3028,78.87,88,100,7.07
70,Rexburg,US,2021-04-03 02:49:30,43.826,-111.7897,60.8,18,1,10.36
71,Lebu,CL,2021-04-03 02:40:28,-37.6167,-73.65,53.78,92,18,15.43
72,Alofi,NU,2021-04-03 02:42:20,-19.0595,-169.9187,84.2,74,91,10.36
73,Yellowknife,CA,2021-04-03 02:39:17,62.456,-114.3525,5.0,78,90,9.22
74,Barrow,US,2021-04-03 02:43:09,71.2906,-156.7887,-13.0,70,1,5.75
75,Stanghelle,NO,2021-04-03 02:49:31,60.5528,5.7357,35.01,81,17,3.24
76,Ilulissat,GL,2021-04-03 02:43:02,69.2167,-51.1,6.8,72,90,9.22
77,Saskylakh,RU,2021-04-03 02:42:21,71.9167,114.0833,-17.55,94,79,3.71
78,Jamestown,US,2021-04-03 02:42:40,42.097,-79.2353,26.6,74,1,12.66
79,Poum,NC,2021-04-03 02:43:01,-20.2333,164.0167,79.38,82,95,7.07
80,Leiyang,CN,2021-04-03 02:49:31,26.4024,112.8591,56.32,88,100,7.14
